Timestamp,Condition_Label,HRV_SDNN,Mean_EDA,Target_Tempo,Target_Complexity
310.0,Baseline,98.82237959450202,2.35460738970109,90,0.5
320.0,Baseline,102.03113497672275,2.305086506291727,90,0.5
330.0,Baseline,56.69447096982872,2.2560582079337173,90,0.5
340.0,Baseline,59.10212538047845,2.218795927521905,90,0.5
350.0,Baseline,38.21043189694918,2.181427147164495,70,0.2
360.0,Baseline,54.87377994468252,2.1417828988066314,90,0.5
370.0,Baseline,43.26387087618369,2.1057123915556057,70,0.2
380.0,Baseline,21.172495898223655,2.0681883984515483,70,0.2
390.0,Baseline,45.6529621153681,2.0336883431550796,70,0.2
400.0,Baseline,57.357712956685454,1.9989585611605678,110,0.8
410.0,Baseline,47.42914514856672,1.97084677165715,90,0.5
420.0,Baseline,26.843185099217834,1.9308504707028338,90,0.5
430.0,Baseline,50.201079898798646,1.8990349305591236,110,0.8
440.0,Baseline,37.73520343434357,1.878676472988511,90,0.5
450.0,Baseline,32.285829214828205,1.8480975168815084,90,0.5
460.0,Baseline,57.8284271282471,1.816017548549414,110,0.8
470.0,Baseline,63.74491139791484,1.7946827478269463,110,0.8
480.0,Baseline,27.63732788084481,1.763768861952365,90,0.5
490.0,Baseline,65.95556120920939,1.7421058461281504,110,0.8
500.0,Baseline,125.84900298475655,1.7280783575238703,110,0.8
510.0,Baseline,59.35459931725022,1.7069607001661011,110,0.8
520.0,Baseline,60.071694951306476,1.6889706188167444,110,0.8
530.0,Baseline,46.656947481584375,1.6671731773880087,90,0.5
540.0,Baseline,47.804099311107166,1.6505824538175438,90,0.5
550.0,Baseline,50.67485205501617,1.6445694543156455,110,0.8
560.0,Baseline,35.7301552043887,1.6132164131078337,90,0.5
570.0,Baseline,36.754995649780994,1.5987131493842945,90,0.5
580.0,Baseline,32.97941362965707,1.5831364223787714,90,0.5
590.0,Baseline,37.708972471067774,1.5714908352015524,90,0.5
600.0,Baseline,48.33861101844719,1.550509169824369,90,0.5
610.0,Baseline,76.74186304488089,1.5376200332630008,110,0.8
620.0,Baseline,70.21008319545653,1.5320361366736148,110,0.8
630.0,Baseline,31.58285624995594,1.5122372437920912,90,0.5
640.0,Baseline,49.07789172104189,1.4962870939510315,90,0.5
650.0,Baseline,40.02521880751644,1.4893576897268863,90,0.5
660.0,Baseline,56.74667857026487,1.4716627283722687,110,0.8
670.0,Baseline,29.35926778418951,1.4745008839914608,90,0.5
680.0,Baseline,29.140756226793215,1.4497484840430435,90,0.5
690.0,Baseline,47.04993246673914,1.439700689276471,90,0.5
700.0,Baseline,41.18676008560523,1.4263256878076422,90,0.5
710.0,Baseline,82.54891168293564,1.4184823487878615,110,0.8
720.0,Baseline,52.178870324574824,1.4107563154894793,110,0.8
730.0,Baseline,75.39580161832461,1.3947807374608172,110,0.8
740.0,Baseline,39.22838529881044,1.3823339795633407,90,0.5
750.0,Baseline,35.10140799935829,1.3711846773615335,90,0.5
760.0,Baseline,44.264762534394585,1.362688518950598,90,0.5
770.0,Baseline,41.163504919907865,1.346634777109949,90,0.5
780.0,Baseline,44.4224718928415,1.3338474935601399,90,0.5
790.0,Baseline,99.72535982532355,1.319483894220505,110,0.8
800.0,Baseline,42.777969195908256,1.308466529040196,90,0.5
810.0,Baseline,32.05514728608289,1.2984203668341754,90,0.5
820.0,Baseline,25.585536266575293,1.2897064651867014,90,0.5
830.0,Baseline,41.5267036999255,1.276818064573868,90,0.5
840.0,Baseline,46.44651667848327,1.2623376168921272,90,0.5
850.0,Baseline,42.94725975171647,1.2446665432754827,90,0.5
860.0,Baseline,67.61988597736492,1.2352653659534356,110,0.8
870.0,Baseline,60.01303713236268,1.2271489438704302,110,0.8
880.0,Baseline,67.63933297334744,1.2172803585062804,110,0.8
890.0,Baseline,56.553453788747426,1.2105080625097382,110,0.8
900.0,Baseline,125.50351280110627,1.2075869673606123,110,0.8
910.0,Baseline,78.99179168742072,1.2005496141853411,110,0.8
920.0,Baseline,88.611218544539,1.1898913690843391,110,0.8
930.0,Baseline,44.772288562561215,1.193772280192448,90,0.5
940.0,Baseline,36.072489376197964,1.1957767174625649,90,0.5
950.0,Baseline,63.380934492502234,1.1852439006008713,110,0.8
960.0,Baseline,33.77798663260407,1.1699919709552127,90,0.5
970.0,Baseline,54.792575638342555,1.1717669147998906,110,0.8
980.0,Baseline,48.44895857809111,1.1645728788323957,90,0.5
990.0,Baseline,75.45853781849485,1.1493699480173964,110,0.8
1000.0,Baseline,55.44356471471313,1.175371893546644,110,0.8
1010.0,Baseline,76.04092465391395,1.1523229409146136,110,0.8
1020.0,Baseline,27.113449551241462,1.153495370106134,90,0.5
1030.0,Baseline,30.107414381545865,1.1472172874026278,90,0.5
1040.0,Baseline,42.411973665511965,1.139603194394902,90,0.5
1050.0,Baseline,67.36217289890772,1.1370952625501158,110,0.8
1060.0,Baseline,39.149587060094014,1.1338036844234882,90,0.5
1070.0,Baseline,45.870674056574046,1.1311847635364733,90,0.5
1080.0,Baseline,32.85319005020597,1.127120736922333,90,0.5
1090.0,Baseline,41.07608669237106,1.1173025032491863,90,0.5
1100.0,Baseline,65.96542918731308,1.1147215390060083,110,0.8
1110.0,Baseline,55.65084077674781,1.1252702496652205,110,0.8
1120.0,Baseline,49.41901166218609,1.0969145379720988,90,0.5
1130.0,Baseline,105.41221321022323,1.0824266799652058,110,0.8
1140.0,Stress,46.266694414401215,1.2634237573225506,90,0.5
1150.0,Stress,27.636725427590388,1.2380037061880471,90,0.5
1160.0,Stress,63.73800048157964,1.2193197559399918,110,0.8
1170.0,Stress,40.467849917342896,1.188617642741487,90,0.5
1180.0,Stress,23.270079472134494,1.1871493263918402,90,0.5
1190.0,Stress,53.41347565522026,1.1812584322176174,110,0.8
1200.0,Stress,63.516197613737546,1.17947979910863,110,0.8
1210.0,Stress,61.22784309672634,1.178499138635389,110,0.8
1220.0,Stress,159.28679168000897,1.1775148290855115,110,0.8
1230.0,Stress,69.61436313528253,1.2639201672842086,110,0.8
1240.0,Stress,65.75415222115497,1.3002395717779385,110,0.8
1250.0,Stress,27.497680792743097,1.287526352167815,90,0.5
1260.0,Stress,58.074367235252645,1.272622377489277,110,0.8
1270.0,Stress,59.028938533702124,1.2768820585167824,110,0.8
1280.0,Stress,40.966976156850926,1.2703883245404186,90,0.5
1290.0,Stress,53.82063249697801,1.265522783802656,110,0.8
1300.0,Stress,45.71022709256029,1.2621616020437156,90,0.5
1310.0,Stress,15.069412679854853,1.2613528136826617,90,0.5
1320.0,Stress,105.9271286605602,1.274209903969447,110,0.8
1330.0,Stress,55.292777829915764,1.378985157806232,110,0.8
1340.0,Stress,39.9713874164699,1.3893244914646654,90,0.5
1350.0,Stress,40.82835380097185,1.413650854333532,90,0.5
1360.0,Stress,61.24658434558812,1.4202265468863822,110,0.8
1370.0,Stress,26.359157702878004,1.4261814918792708,90,0.5
1380.0,Stress,44.45227719064027,1.419583635796357,90,0.5
1390.0,Stress,100.1943072037631,1.4046727842017512,110,0.8
1400.0,Stress,105.38139349637628,1.453624540626352,110,0.8
1410.0,Stress,62.45106928165258,1.4509331005230452,110,0.8
1420.0,Stress,71.64279563903044,1.5425073652877672,110,0.8
1430.0,Stress,30.8109322091893,1.5178990819260902,90,0.5
1440.0,Stress,30.7023534659608,1.512941138629144,90,0.5
1450.0,Stress,31.199479880858867,1.5053633156229194,90,0.5
1460.0,Stress,39.68724358844702,1.496302465476819,90,0.5
1470.0,Stress,36.1279934530856,1.4815365922962331,90,0.5
1480.0,Stress,31.69602844086203,1.5261330447761268,90,0.5
1490.0,Stress,37.385818747403825,1.699117110289388,90,0.5
1500.0,Stress,18.820671801899934,1.7090526886499304,90,0.5
1510.0,Stress,27.337646913652062,1.8227433984490653,90,0.5
1520.0,Stress,24.7367087929005,1.812968152087418,90,0.5
1530.0,Stress,69.12385700088673,1.8725078769380559,110,0.8
1540.0,Stress,46.19391248877291,1.8065697579737237,90,0.5
1550.0,Stress,50.10526951723918,1.854662230061875,110,0.8
1560.0,Stress,20.85376240173408,1.9146747092867074,90,0.5
1570.0,Stress,24.030747156619636,1.9049461808328494,90,0.5
1580.0,Stress,39.109759445169175,2.1856575070055997,70,0.2
1590.0,Stress,83.0256533959869,2.30489221313152,90,0.5
1600.0,Stress,17.571364046855305,2.4122458894978345,70,0.2
1610.0,Stress,40.97701363274909,2.381504677154957,70,0.2
1620.0,Stress,64.54953082322963,2.50447421342101,90,0.5
1630.0,Stress,90.21084352462768,2.6342193643217855,90,0.5
1640.0,Stress,50.459851966512716,2.535126007973727,90,0.5
1650.0,Stress,26.060677970877773,2.7173092697693666,70,0.2
1660.0,Stress,28.328185352105223,2.7144915378899386,70,0.2
1670.0,Stress,52.740481999678785,2.6284746465863646,90,0.5
1680.0,Stress,37.27100769824048,2.679518560952866,70,0.2
1690.0,Stress,44.04285688542907,2.9414378082585495,70,0.2
1700.0,Stress,41.178826268345595,2.9234815442078075,70,0.2
1710.0,Stress,46.37842780047942,2.8764732717764625,70,0.2
1720.0,Stress,42.58528494100392,2.945143998801378,70,0.2
1730.0,Stress,31.772615132472446,2.9190188373279877,70,0.2
1740.0,Stress,54.648338858673156,3.1653872994306984,90,0.5
1750.0,Meditation,41.449775635421254,0.9420552166460844,90,0.5
1760.0,Meditation,46.58788296330141,0.9341216596047421,90,0.5
1770.0,Meditation,74.57878696286637,0.9299708992044845,110,0.8
1780.0,Meditation,58.33362487779424,0.9191190762949777,110,0.8
1790.0,Meditation,56.75043827934685,0.9173949311264629,110,0.8
1800.0,Meditation,105.19057319618715,0.9311215037645517,110,0.8
1810.0,Meditation,46.86607057806928,0.9312631776150165,90,0.5
1820.0,Meditation,55.59511063511442,0.9280760241017998,110,0.8
1830.0,Meditation,62.15772491364134,0.9191230021769139,110,0.8
1840.0,Meditation,64.56069934741065,0.9105528564474363,110,0.8
1850.0,Meditation,43.16844610625944,0.8995746170400528,90,0.5
1860.0,Meditation,82.09320916326493,0.8904027127578823,110,0.8
1870.0,Meditation,67.76392929412138,0.8829986653561247,110,0.8
1880.0,Meditation,31.402947707445467,0.8817937937739372,90,0.5
1890.0,Meditation,77.37531114968264,0.8659063994494505,110,0.8
1900.0,Meditation,70.01862402068872,0.8532904773477124,110,0.8
1910.0,Meditation,49.83896971742426,0.84870974523131,90,0.5
1920.0,Meditation,46.105469151872725,0.8383062430467606,90,0.5
1930.0,Meditation,42.253956328334816,0.83935518268942,90,0.5
1940.0,Meditation,45.032661822257126,0.8316101042082538,90,0.5
1950.0,Meditation,42.26576105813225,0.8301557434976586,90,0.5
1960.0,Meditation,69.93096693207106,0.8327343341980613,110,0.8
1970.0,Meditation,44.69853670617719,0.8236434017114318,90,0.5
1980.0,Meditation,73.44595557294272,0.8138151097022468,110,0.8
1990.0,Meditation,53.28494829016647,0.8199109940138715,110,0.8
2000.0,Meditation,64.71006328423296,0.8050018638167579,110,0.8
2010.0,Meditation,38.282278926659956,0.799556217461368,90,0.5
2020.0,Meditation,86.27869728642277,0.7984158988151963,110,0.8
2030.0,Meditation,48.80349450671326,0.798397782223598,90,0.5
2040.0,Meditation,72.68717973419945,0.7946069622821116,110,0.8
2050.0,Meditation,53.166172793413224,0.7921547557112943,110,0.8
2060.0,Meditation,24.64742099654803,0.7872910965337189,90,0.5
2070.0,Meditation,32.65039413968551,0.782228429071038,90,0.5
2080.0,Meditation,41.395418889163054,0.7863671522052261,90,0.5
2090.0,Meditation,55.66098016052562,0.7777099462481024,110,0.8
2100.0,Meditation,60.44881270063209,0.7775337029369837,110,0.8
2110.0,Meditation,80.85989114180684,0.7832968753728061,110,0.8
2120.0,Meditation,66.39331715133892,0.781242470326967,110,0.8
2130.0,Meditation,55.201958623111075,0.7762362167200041,110,0.8
2140.0,Meditation,218.0443379987963,0.697043902996498,110,0.8
2150.0,Meditation,73.46555797526331,0.6797417022977362,110,0.8
2160.0,Meditation,54.181376148412916,0.6728746207254847,110,0.8
2170.0,Meditation,80.36495552849827,0.6682047163835265,110,0.8
2180.0,Meditation,36.98409292184546,0.6612469781825372,90,0.5
2190.0,Meditation,116.11458738073095,0.6641432168474961,110,0.8
2200.0,Meditation,66.52859852551163,0.654934415075182,110,0.8
2210.0,Meditation,77.44466241750591,0.6570058478771549,110,0.8
2220.0,Meditation,51.391079808661594,0.6476191154568985,110,0.8
2230.0,Meditation,77.26107931175453,0.6456038535670536,110,0.8
2240.0,Meditation,62.77908212077839,0.6485901818361197,110,0.8
2250.0,Meditation,31.660042271670935,0.6342417808365448,90,0.5
2260.0,Meditation,50.188512903434926,0.6254481036247677,110,0.8
2270.0,Meditation,60.07478332742232,0.622894594267538,110,0.8
2280.0,Meditation,38.412853445598415,0.624375803538297,90,0.5
2290.0,Meditation,52.07355690557525,0.6118926886276752,110,0.8
2300.0,Meditation,78.39084587216347,0.6070938127942992,110,0.8
2310.0,Meditation,48.97417061834841,0.5873558930274451,90,0.5
2320.0,Meditation,56.57355295033216,0.5712275399638428,110,0.8
2330.0,Meditation,70.52909854447734,0.5449605710716285,110,0.8
2340.0,Meditation,36.260896399699625,0.535704981535242,90,0.5
2350.0,Meditation,25.738965229118236,0.509251309955945,90,0.5
2360.0,Meditation,42.33678811763965,0.5021332587646735,90,0.5
2370.0,Meditation,39.181680434007106,0.5062851194134023,90,0.5
2380.0,Meditation,78.55396631350173,0.5155013117487728,110,0.8
2390.0,Meditation,31.267988020177004,0.493978722921504,90,0.5
2400.0,Meditation,34.614822562640455,0.4870821536841423,90,0.5
2410.0,Meditation,44.1876795092044,0.4926376536671761,90,0.5
2420.0,Meditation,44.44097208657793,0.49540121587757485,90,0.5
2430.0,Meditation,64.9087969957666,0.4850422393426028,110,0.8
2440.0,Meditation,93.89722755440452,0.4816859613156744,110,0.8
2450.0,Meditation,24.248337250426626,0.4773351953492385,90,0.5
2460.0,Meditation,76.19605634327522,0.48431876167543436,110,0.8
2470.0,Meditation,78.62660400362498,0.47277610085279137,110,0.8
2480.0,Meditation,60.27168271221112,0.4790345650569153,110,0.8
2490.0,Meditation,59.740083286018354,0.46922914678900407,110,0.8
2500.0,Meditation,40.82732844920569,0.4704679236745704,90,0.5
